rep	model	condition	task	regime	edgeprobe	verdict	confidence
13	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
14	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
15	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
1	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
2	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
3	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
4	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
5	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
6	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
7	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
8	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
9	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
10	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
11	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
12	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
13	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
14	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
15	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
1	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
2	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
3	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
4	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
5	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
6	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
7	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
8	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
9	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
10	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
1	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
2	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
4	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.96
5	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
6	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
7	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
8	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
9	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
10	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
1	sonnet	narrow	t1	NI	HIT	passed	0.99
2	sonnet	narrow	t1	NI	HIT	passed	0.99
3	sonnet	narrow	t1	NI	HIT	passed	0.99
4	sonnet	narrow	t1	NI	HIT	passed	0.99
5	sonnet	narrow	t1	NI	HIT	passed	0.99
1	sonnet	narrow	t2	NI	HIT	gaps_found	0.85
2	sonnet	narrow	t2	NI	HIT	gaps_found	0.72
3	sonnet	narrow	t2	NI	HIT	passed	0.88
4	sonnet	narrow	t2	NI	HIT	gaps_found	0.82
5	sonnet	narrow	t2	NI	HIT	gaps_found	0.82
1	sonnet	narrow	t3	NI	MISS	passed	0.99
2	sonnet	narrow	t3	NI	MISS	passed	0.97
3	sonnet	narrow	t3	NI	MISS	passed	0.97
4	sonnet	narrow	t3	NI	MISS	passed	0.99
5	sonnet	narrow	t3	NI	MISS	passed	0.97
1	sonnet	narrow	t4	NI	HIT	gaps_found	0.75
2	sonnet	narrow	t4	NI	HIT	passed	0.88
3	sonnet	narrow	t4	NI	HIT	gaps_found	0.88
4	sonnet	narrow	t4	NI	HIT	passed	0.93
5	sonnet	narrow	t4	NI	HIT	gaps_found	0.78
1	sonnet	narrow	t5	INF	INF	gaps_found	0.92
2	sonnet	narrow	t5	INF	INF	gaps_found	0.92
3	sonnet	narrow	t5	INF	INF	gaps_found	0.97
4	sonnet	narrow	t5	INF	INF	gaps_found	0.97
5	sonnet	narrow	t5	INF	INF	gaps_found	0.9
1	sonnet	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.72
2	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.88
3	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.82
4	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.95
5	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.82
1	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.9
2	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.92
3	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.87
4	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.9
5	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.88
1	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.85
2	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.85
3	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.85
4	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
5	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
1	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.85
2	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.82
3	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.88
4	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
5	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
1	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
2	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.92
3	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.93
4	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.87
5	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.82
1	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
2	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
3	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
4	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
5	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
1	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
2	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
3	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
4	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	1
5	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
1	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
2	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
3	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
4	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
5	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
1	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
2	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.98
3	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
4	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.97
5	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.98
1	haiku	narrow	t1	NI	HIT	passed	1
2	haiku	narrow	t1	NI	HIT	passed	0.99
3	haiku	narrow	t1	NI	HIT	passed	0.98
4	haiku	narrow	t1	NI	HIT	passed	0.99
5	haiku	narrow	t1	NI	HIT	passed	0.99
1	haiku	narrow	t2	NI	HIT	passed	0.95
2	haiku	narrow	t2	NI	HIT	passed	0.95
3	haiku	narrow	t2	NI	HIT	gaps_found	0.72
4	haiku	narrow	t2	NI	HIT	passed	0.99
5	haiku	narrow	t2	NI	HIT	passed	0.99
1	haiku	narrow	t3	NI	MISS	passed	0.99
2	haiku	narrow	t3	NI	MISS	passed	0.99
3	haiku	narrow	t3	NI	MISS	passed	0.95
4	haiku	narrow	t3	NI	MISS	passed	0.95
5	haiku	narrow	t3	NI	MISS	passed	0.95
1	haiku	narrow	t4	NI	HIT	passed	0.98
2	haiku	narrow	t4	NI	HIT	passed	0.98
3	haiku	narrow	t4	NI	HIT	passed	0.96
4	haiku	narrow	t4	NI	HIT	passed	0.99
5	haiku	narrow	t4	NI	HIT	passed	0.98
1	haiku	narrow	t5	INF	INF	gaps_found	0.95
2	haiku	narrow	t5	INF	INF	gaps_found	0.95
3	haiku	narrow	t5	INF	INF	gaps_found	0.93
4	haiku	narrow	t5	INF	INF	gaps_found	0.98
5	haiku	narrow	t5	INF	INF	gaps_found	0.98
1	haiku	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.82
2	haiku	surfaced-unresolved	t1	NI	HIT	passed	0.92
3	haiku	surfaced-unresolved	t1	NI	HIT	passed	0.92
4	haiku	surfaced-unresolved	t1	NI	HIT	passed	0.92
5	haiku	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.65
1	haiku	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
2	haiku	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.82
3	haiku	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.75
4	haiku	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
5	haiku	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.85
1	haiku	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.85
2	haiku	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.82
3	haiku	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.85
4	haiku	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.88
5	haiku	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.92
1	haiku	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.82
2	haiku	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.82
3	haiku	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.72
4	haiku	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.73
5	haiku	surfaced-unresolved	t4	NI	HIT	passed	0.8
1	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
2	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.98
3	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.99
4	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
5	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
1	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.99
2	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.85
3	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
4	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.95
5	haiku	surfaced-resolved	t1	NI	HIT	gaps_found	0.99
1	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.95
2	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
3	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
4	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
5	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.99
1	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
2	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.98
3	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.95
4	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.95
5	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
1	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
2	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
4	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.99
5	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
