rep	model	condition	task	regime	edgeprobe	verdict	confidence
2	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
2	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	opus	narrow	t1	NI	HIT	passed	0.92
3	opus	narrow	t2	NI	HIT	passed	0.85
3	opus	narrow	t3	NI	MISS	passed	0.90
3	opus	narrow	t4	NI	HIT	passed	0.95
3	opus	narrow	t5	INF	INF	gaps_found	0.90
3	opus	surfaced-unresolved	t1	NI	HIT	insufficient_spec	0.70
3	opus	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.72
3	opus	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.70
3	opus	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.60
3	opus	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
3	opus	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
3	opus	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
3	opus	surfaced-resolved	t3	NI	MISS	gaps_found	0.97
3	opus	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	sonnet	narrow	t1	NI	HIT	passed	0.97
3	sonnet	narrow	t2	NI	HIT	gaps_found	0.72
3	sonnet	narrow	t3	NI	MISS	passed	0.99
3	sonnet	narrow	t4	NI	HIT	passed	0.97
3	sonnet	narrow	t5	INF	INF	gaps_found	0.95
3	sonnet	surfaced-unresolved	t1	NI	HIT	passed	0.82
3	sonnet	surfaced-unresolved	t2	NI	HIT	insufficient_spec	0.60
3	sonnet	surfaced-unresolved	t3	NI	MISS	insufficient_spec	0.70
3	sonnet	surfaced-unresolved	t4	NI	HIT	insufficient_spec	0.62
3	sonnet	surfaced-unresolved	t5	INF	INF	gaps_found	0.85
3	sonnet	surfaced-resolved	t1	NI	HIT	gaps_found	0.97
3	sonnet	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
3	sonnet	surfaced-resolved	t3	NI	MISS	gaps_found	0.97
3	sonnet	surfaced-resolved	t4	NI	HIT	gaps_found	0.95
3	haiku	surfaced-unresolved	t1	NI	HIT	passed	0.99
3	haiku	surfaced-unresolved	t2	NI	HIT	passed	0.99
3	haiku	surfaced-unresolved	t3	NI	MISS	passed	1.00
3	haiku	surfaced-unresolved	t4	NI	HIT	passed	0.99
3	haiku	surfaced-unresolved	t5	INF	INF	gaps_found	0.95
3	haiku	surfaced-resolved	t1	NI	HIT	passed	0.95
3	haiku	surfaced-resolved	t2	NI	HIT	gaps_found	0.98
3	haiku	surfaced-resolved	t3	NI	MISS	gaps_found	0.99
3	haiku	surfaced-resolved	t4	NI	HIT	gaps_found	0.98
